%
%
%

@RELATION UCI_German

@ATTRIBUTE A1	{A11,A12,A13,A14}
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	{A31,A32,A33,A34,A35}
@ATTRIBUTE A4	{A41,A42,A43,A44,A45,A46,A47,A48,A49,A410,A411}
@ATTRIBUTE A5	REAL
@ATTRIBUTE A6	{A61,A62,A63,A64,A65}
@ATTRIBUTE A7	{A71,A72,A73,A74,A75}
@ATTRIBUTE A8	REAL
@ATTRIBUTE A9	{A91,A92,A93,A94,A95}
@ATTRIBUTE A10	{A101,A102,A103}
@ATTRIBUTE A11	REAL
@ATTRIBUTE A12	{A121,A122,A123,A124}
@ATTRIBUTE A13	REAL
@ATTRIBUTE A14	{A141,A142,A143}
@ATTRIBUTE A15	{A151,A152,A153}
@ATTRIBUTE A16	REAL
@ATTRIBUTE A17	{A171,A172,A173,A174}
@ATTRIBUTE A18	REAL
@ATTRIBUTE A19	{A191,A192}
@ATTRIBUTE A20	{A201,A202}
@ATTRIBUTE class	{0,1}

@DATA
A11,6.0,A35,A44,1169.0,A65,A75,4.0,A93,A101,4.0,A121,67.0,A143,A152,2.0,A173,1.0,A192,A201,0
A12,48.0,A33,A44,5951.0,A61,A73,2.0,A92,A101,2.0,A121,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,12.0,A35,A47,2096.0,A61,A74,2.0,A93,A101,3.0,A121,49.0,A143,A152,1.0,A172,2.0,A191,A201,0
A11,42.0,A33,A43,7882.0,A61,A74,2.0,A93,A103,4.0,A122,45.0,A143,A153,1.0,A173,2.0,A191,A201,0
A11,24.0,A34,A41,4870.0,A61,A73,3.0,A93,A101,4.0,A124,53.0,A143,A153,2.0,A173,2.0,A191,A201,1
A14,36.0,A33,A47,9055.0,A65,A73,2.0,A93,A101,4.0,A124,35.0,A143,A153,1.0,A172,2.0,A192,A201,0
A14,24.0,A33,A43,2835.0,A63,A75,3.0,A93,A101,4.0,A122,53.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,36.0,A33,A42,6948.0,A61,A73,2.0,A93,A101,2.0,A123,35.0,A143,A151,1.0,A174,1.0,A192,A201,0
A14,12.0,A33,A44,3059.0,A64,A74,2.0,A91,A101,4.0,A121,61.0,A143,A152,1.0,A172,1.0,A191,A201,0
A12,30.0,A35,A41,5234.0,A61,A71,4.0,A94,A101,2.0,A123,28.0,A143,A152,2.0,A174,1.0,A191,A201,1
A12,12.0,A33,A41,1295.0,A61,A72,3.0,A92,A101,1.0,A123,25.0,A143,A151,1.0,A173,1.0,A191,A201,1
A11,48.0,A33,A410,4308.0,A61,A72,3.0,A92,A101,4.0,A122,24.0,A143,A151,1.0,A173,1.0,A191,A201,1
A12,12.0,A33,A44,1567.0,A61,A73,1.0,A92,A101,1.0,A123,22.0,A143,A152,1.0,A173,1.0,A192,A201,0
A11,24.0,A35,A41,1199.0,A61,A75,4.0,A93,A101,4.0,A123,60.0,A143,A152,2.0,A172,1.0,A191,A201,1
A11,15.0,A33,A41,1403.0,A61,A73,2.0,A92,A101,4.0,A123,28.0,A143,A151,1.0,A173,1.0,A191,A201,0
A11,24.0,A33,A44,1282.0,A62,A73,4.0,A92,A101,2.0,A123,32.0,A143,A152,1.0,A172,1.0,A191,A201,1
A14,24.0,A35,A44,2424.0,A65,A75,4.0,A93,A101,4.0,A122,53.0,A143,A152,2.0,A173,1.0,A191,A201,0
A11,30.0,A31,A410,8072.0,A65,A72,2.0,A93,A101,3.0,A123,25.0,A141,A152,3.0,A173,1.0,A191,A201,0
A12,24.0,A33,A42,12579.0,A61,A75,4.0,A92,A101,2.0,A124,44.0,A143,A153,1.0,A174,1.0,A192,A201,1
A14,24.0,A33,A44,3430.0,A63,A75,3.0,A93,A101,2.0,A123,31.0,A143,A152,1.0,A173,2.0,A192,A201,0
